# Void0 Void1 Void2 Void3 Void4 r
6.494120822006498e-10 5.601023797665464e-10 7.796467642884317e-10 5.909774277078026e-10 7.068106612592267e-10 13210.0
6.561391680963839e-10 5.606729568376399e-10 7.807444790563029e-10 5.969440040181232e-10 7.13092862966862e-10 13284.0
6.617232300846196e-10 5.628254668966245e-10 7.839676790100036e-10 6.014026085657006e-10 7.214426493957088e-10 13358.0
6.661177934298133e-10 5.649041562272067e-10 7.853665772809857e-10 6.07478928643493e-10 7.305712683378023e-10 13432.0
6.736429707693233e-10 5.684619917385684e-10 7.881302852719238e-10 6.111160293178607e-10 7.390781420557376e-10 13506.0
6.783258044347368e-10 5.703734902747309e-10 7.928582508182767e-10 6.188185217175604e-10 7.487999741911364e-10 13580.0
6.845216114194176e-10 5.723111060387126e-10 7.963568308289496e-10 6.255078924524749e-10 7.562950534062397e-10 13654.0
6.928004707698237e-10 5.743643609766613e-10 8.019130832215135e-10 6.329823888166131e-10 7.680346324856673e-10 13728.0
7.000610131591657e-10 5.786153696410906e-10 8.063373055422232e-10 6.397469463708323e-10 7.809036629206368e-10 13802.0
7.07956022948191e-10 5.83706165385314e-10 8.111996096281355e-10 6.475294735147343e-10 7.918023297064489e-10 13876.0
7.146036483068922e-10 5.858113620676591e-10 8.160363710075997e-10 6.54518175969873e-10 8.018727384362086e-10 13950.0
7.242144627505504e-10 5.884458977585773e-10 8.214517704584496e-10 6.603131866255018e-10 8.112344932460434e-10 14024.0
7.322132973177048e-10 5.909015004427479e-10 8.292053509025666e-10 6.688872025782036e-10 8.217050866534735e-10 14098.0
7.403482660781058e-10 5.953661940265456e-10 8.339825209447384e-10 6.75743986286612e-10 8.324722910275347e-10 14172.0
7.465435471775561e-10 6.004232180165585e-10 8.402125428070481e-10 6.816195343338342e-10 8.436817648673997e-10 14246.0
7.511283981784962e-10 6.070184456479314e-10 8.450601110299646e-10 6.902964317604023e-10 8.541686407610161e-10 14320.0
7.552144503738855e-10 6.129160643793574e-10 8.482649425098684e-10 6.987595476579923e-10 8.64520751376998e-10 14394.0
7.640262378942917e-10 6.196427058905299e-10 8.528169845006465e-10 7.053581069217091e-10 8.759215038218384e-10 14468.0
7.712109721697932e-10 6.263031407259473e-10 8.595845585487303e-10 7.12347019203858e-10 8.864538563405689e-10 14542.0
7.793617454064163e-10 6.323614240451668e-10 8.635695257491507e-10 7.206228032599857e-10 8.954629357427205e-10 14616.0
7.860204708557977e-10 6.383685518527918e-10 8.722009786820419e-10 7.276376967602214e-10 9.039160082229938e-10 14690.0
7.928824012302115e-10 6.44991467617501e-10 8.762148239332091e-10 7.367090762202659e-10 9.116106971561206e-10 14764.0
8.018355148277279e-10 6.508106106765668e-10 8.810760744113962e-10 7.422588948455419e-10 9.197460522894039e-10 14838.0
8.135754322771827e-10 6.578027793591031e-10 8.874648182660638e-10 7.485441305735184e-10 9.302428838385739e-10 14912.0
8.218722599135162e-10 6.683255474510411e-10 8.953107291365577e-10 7.56593620604146e-10 9.383804400721964e-10 14986.0
8.33513732039481e-10 6.750887935391066e-10 9.023090274871282e-10 7.629006747202497e-10 9.468441933409404e-10 15060.0
8.473158165869727e-10 6.857615772263376e-10 9.102151856855909e-10 7.708445135207446e-10 9.52928886497358e-10 15134.0
8.606668166079771e-10 6.970471094197445e-10 9.187823640574074e-10 7.785853950351251e-10 9.589744249102844e-10 15208.0
8.751188696259179e-10 7.062374546143867e-10 9.279779496017934e-10 7.871319200458214e-10 9.66852791963798e-10 15282.0
8.916075239021088e-10 7.167812261310667e-10 9.344732702435564e-10 7.942033587539274e-10 9.741075987838794e-10 15356.0
9.069836153984014e-10 7.245208469311676e-10 9.446852205679759e-10 8.02134151366464e-10 9.78811673523194e-10 15430.0
9.242349237514389e-10 7.330315812338091e-10 9.537099698500012e-10 8.09923005838754e-10 9.851713777508578e-10 15504.0
9.423905068344971e-10 7.404451720030817e-10 9.610879791867333e-10 8.204147665906864e-10 9.893868562603881e-10 15578.0
9.610309225866582e-10 7.502293626491362e-10 9.675698188328738e-10 8.267655863310312e-10 9.945349814482199e-10 15652.0
9.775491481698541e-10 7.582898046540856e-10 9.76136948533656e-10 8.327679854674788e-10 1.0012495420643056e-09 15726.0
9.926922857782272e-10 7.659053550881472e-10 9.824003001355914e-10 8.406130626352798e-10 1.0057691616535761e-09 15800.0
1.0099732489447497e-09 7.733894928525377e-10 9.887804068017431e-10 8.458630431669321e-10 1.0124208729668998e-09 15874.0
1.026470925795759e-09 7.822749289959881e-10 9.949750583203789e-10 8.513303543205134e-10 1.0177580503072428e-09 15948.0
1.04331365425342e-09 7.891910129252496e-10 1.0030209622082404e-09 8.578743770310813e-10 1.0221803114516255e-09 16022.0
1.0571592222678477e-09 7.946731495305596e-10 1.0104912141350183e-09 8.662498491207887e-10 1.0296737696251998e-09 16096.0
1.0697050291472622e-09 8.033518656066872e-10 1.016219777689899e-09 8.718604295114195e-10 1.0359872940680163e-09 16170.0
1.0804412923467896e-09 8.105259545402414e-10 1.0235055905432206e-09 8.764309792306741e-10 1.0413328161568625e-09 16244.0
1.0935030344074107e-09 8.182862690886694e-10 1.0304142072137375e-09 8.823642939212677e-10 1.0454170380707695e-09 16318.0
1.106026733160231e-09 8.264433861229627e-10 1.0367408077164403e-09 8.887898761545428e-10 1.049318534401072e-09 16392.0
1.1205426076895557e-09 8.337478839458136e-10 1.0417569627670393e-09 8.967015187549118e-10 1.0535774838314495e-09 16466.0
1.1320579352890274e-09 8.379086284038401e-10 1.0470955413017379e-09 9.038204483355946e-10 1.0583359077112366e-09 16540.0
1.1436547029548992e-09 8.459212485979462e-10 1.0512833934009931e-09 9.105395096782153e-10 1.0620097123232617e-09 16614.0
1.157791257273008e-09 8.530579677156187e-10 1.0539527851442805e-09 9.185671473119215e-10 1.0659242665920754e-09 16688.0
1.1696471762235338e-09 8.595530182720348e-10 1.0569363663598677e-09 9.253643683408781e-10 1.070017512983721e-09 16762.0
1.1835098758739318e-09 8.680306653135318e-10 1.058969391324394e-09 9.291250532745545e-10 1.0740803701648762e-09 16836.0
1.1965305933130825e-09 8.752994125660085e-10 1.0634455768467698e-09 9.337679318595573e-10 1.0772232093492191e-09 16910.0
1.2092243045680611e-09 8.804283691139644e-10 1.0665153660845753e-09 9.409626934297053e-10 1.0794800442391543e-09 16984.0
1.2204922748694338e-09 8.856145955093184e-10 1.0689049213765846e-09 9.48202709407826e-10 1.0820383226788847e-09 17058.0
1.2310971803328923e-09 8.913760914958042e-10 1.073298301634871e-09 9.534889212692052e-10 1.0859772967032948e-09 17132.0
1.2421853082150381e-09 8.979698012818322e-10 1.0776012628871766e-09 9.602689172717859e-10 1.0898829546775212e-09 17206.0
1.2497542344887934e-09 9.052689156139294e-10 1.081954158422128e-09 9.663544369619708e-10 1.0921813555569138e-09 17280.0
1.2572694548320452e-09 9.115991653862349e-10 1.0857135551665656e-09 9.729115534957085e-10 1.0959475156259711e-09 17354.0
1.2672109204126365e-09 9.173104074862556e-10 1.0881333084082879e-09 9.809122797598404e-10 1.0978765739480712e-09 17428.0
1.2753862198052715e-09 9.224236624663702e-10 1.0919793035754172e-09 9.872262518579287e-10 1.1007087245518745e-09 17502.0
1.2830017029588209e-09 9.284545126779539e-10 1.0966247502907095e-09 9.93805185557806e-10 1.1041009376322807e-09 17576.0
1.2894672994037989e-09 9.354967353839838e-10 1.1002139908529029e-09 1.0028514580922078e-09 1.1079005065971682e-09 17650.0
1.2945657987911687e-09 9.424809540541794e-10 1.1063869560742492e-09 1.0101961757155322e-09 1.1102037101767573e-09 17724.0
1.300420849462282e-09 9.492796912505322e-10 1.1127163972617664e-09 1.0171277355703033e-09 1.1139869598894774e-09 17798.0
1.3067094571386834e-09 9.557299739488405e-10 1.1191523122664089e-09 1.0253737398302717e-09 1.1166426270094204e-09 17872.0
1.3137437674270058e-09 9.61676962835404e-10 1.1247381782452903e-09 1.0353375017449117e-09 1.1219702275403342e-09 17946.0
